fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
0,10,0.1,1,128,510,4096,2.345735714285714,2.3260420322418214
1,10,0.1,1,128,510,4096,2.347661538461539,2.334910137312753
2,10,0.1,1,128,510,4096,2.3588636363636364,2.3377593755722046
3,10,0.1,1,128,510,4096,2.352525,2.3281201399289646
4,10,0.1,1,128,510,4096,2.354883333333333,2.34136150433467
0,10,0.1,1,128,510,2048,2.349378571428572,2.3283494154612225
1,10,0.1,1,128,510,2048,2.347523076923077,2.334320443017142
2,10,0.1,1,128,510,2048,2.361027272727273,2.338326851526896
3,10,0.1,1,128,510,2048,2.339247058823529,2.323015477922228
4,10,0.1,1,128,510,2048,2.35515,2.3396298518547645
0,10,0.1,1,128,510,3072,2.3471285714285712,2.326157299677531
1,10,0.1,1,128,510,3072,2.346915384615384,2.335079107965742
2,10,0.1,1,128,510,3072,2.3265857142857143,2.3150656006552954
3,10,0.1,1,128,510,3072,2.31765,2.3141215896606444
4,10,0.1,1,128,510,3072,2.3517500000000005,2.335937665059016
0,10,0.2,1,128,510,2048,2.337942857142857,2.3250701745351154
1,10,0.2,1,128,510,2048,2.3241764705882355,2.3198371993170843
2,10,0.2,1,128,510,2048,2.326438888888889,2.3160813607667623
3,10,0.2,1,128,510,2048,2.3455090909090903,2.3283275763193765
4,10,0.2,1,128,510,2048,2.3000275862068964,2.306292200088501
0,10,0.2,1,128,510,3072,2.336457142857143,2.3234887440999348
1,10,0.2,1,128,510,3072,2.3246470588235293,2.321808179219564
2,10,0.2,1,128,510,3072,2.326027777777778,2.3155006985915336
3,10,0.2,1,128,510,3072,2.346372727272727,2.3287073175112405
4,10,0.2,1,128,510,3072,2.2994206896551725,2.307245111465454
0,10,0.2,1,128,510,4096,2.3340714285714284,2.321988073984782
1,10,0.2,1,128,510,4096,2.324464705882353,2.3187979327307806
2,10,0.2,1,128,510,4096,2.324938888888889,2.3149293221925435
3,10,0.2,1,128,510,4096,2.345936363636364,2.329216321309408
4,10,0.2,1,128,510,4096,2.298131034482759,2.3053386926651003
0,10,0.4,1,128,510,3072,2.322036363636364,2.320020354312399
1,10,0.4,1,128,510,3072,2.319668181818182,2.325244520021521
2,10,0.4,1,128,510,3072,2.3326882352941176,2.324564033084445
3,10,0.4,1,128,510,3072,2.330635294117647,2.327820380528768
