fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
0,16,0.15,1,128,768,3072,2.3173857142857144,2.3113435904184976
1,16,0.15,1,128,768,3072,2.3034882352941173,2.3080442746480307
2,16,0.15,1,128,768,3072,2.330163636363636,2.312110265096029
3,16,0.15,1,128,768,3072,2.327818181818182,2.3143970370292664
4,16,0.15,1,128,768,3072,2.3236833333333333,2.3182144348437967
0,16,0.15,1,128,768,2048,2.317757142857143,2.3086484909057616
1,16,0.15,1,128,768,2048,2.3032352941176475,2.3073133495118885
2,16,0.15,1,128,768,2048,2.3322090909090907,2.3134206533432007
3,16,0.15,1,128,768,2048,2.3288636363636366,2.31662380695343
4,16,0.15,1,128,768,2048,2.3257,2.31776186136099
0,16,0.18,1,128,768,2048,2.316242857142857,2.3097833315531413
1,16,0.18,1,128,768,2048,2.301329411764706,2.3078784810172186
2,16,0.18,1,128,768,2048,2.329463636363636,2.3143366972605386
3,16,0.18,1,128,768,2048,2.3266454545454547,2.3178537090619407
4,16,0.18,1,128,768,2048,2.29456,2.304306359518142
0,16,0.15,1,128,768,4096,2.317857142857143,2.309901316960653
1,16,0.15,1,128,768,4096,2.3024823529411766,2.3068548440933228
2,16,0.15,1,128,768,4096,2.269707142857143,2.2874421251231225
3,16,0.15,1,128,768,4096,2.329081818181818,2.3164939681688943
4,16,0.15,1,128,768,4096,2.323925,2.31576708646921
0,16,0.18,1,128,768,3072,2.31505,2.310816431045532
1,16,0.18,1,128,768,3072,2.300670588235294,2.308188650343153
2,16,0.18,1,128,768,3072,2.3279272727272726,2.314148783683777
3,16,0.18,1,128,768,3072,2.3252,2.31572816769282
4,16,0.18,1,128,768,3072,2.2892809523809525,2.303646304390647
0,16,0.18,1,128,768,4096,2.315207142857143,2.308885828653972
1,16,0.18,1,128,768,4096,2.3000294117647058,2.3066050476498074
2,16,0.18,1,128,768,4096,2.266610714285714,2.2876243098028777
3,16,0.18,1,128,768,4096,2.326518181818182,2.31646066904068
4,16,0.18,1,128,768,4096,2.28677619047619,2.3006124821576206
0,16,0.2,1,128,768,2048,2.315185714285714,2.3109409332275392
1,16,0.2,1,128,768,2048,2.301041176470588,2.3068500227398343
2,16,0.2,1,128,768,2048,2.327972727272727,2.3151649832725525
3,16,0.2,1,128,768,2048,2.325290909090909,2.317409793535868
4,16,0.2,1,128,768,2048,2.266779310344828,2.296620003382365
0,16,0.2,1,128,768,3072,2.313828571428572,2.3119954744974773
1,16,0.2,1,128,768,3072,2.2996823529411765,2.3071100579367743
2,16,0.2,1,128,768,3072,2.3263181818181824,2.3149274984995523
3,16,0.2,1,128,768,3072,2.3235272727272727,2.3155163725217185
4,16,0.2,1,128,768,3072,2.283940909090909,2.301290512084961
0,16,0.23,1,128,768,2048,2.278036,2.295005358182467
1,16,0.23,1,128,768,2048,2.3015000000000003,2.311048984527588
2,16,0.23,1,128,768,2048,2.326772727272727,2.315748631954193
3,16,0.23,1,128,768,2048,2.324581818181818,2.3194774985313416
4,16,0.23,1,128,768,2048,2.266748275862069,2.297889534632365
0,16,0.2,1,128,768,4096,2.3135285714285714,2.310479688644409
1,16,0.2,1,128,768,4096,2.299111764705882,2.305382145775689
2,16,0.2,1,128,768,4096,2.255454838709677,2.285645298659801
3,16,0.2,1,128,768,4096,2.3222909090909094,2.315351029237112
4,16,0.2,1,128,768,4096,2.2832954545454545,2.2990958379662554
0,16,0.23,1,128,768,3072,2.224070731707317,2.2851214749472484
1,16,0.23,1,128,768,3072,2.3009941176470585,2.3079792393578424
2,16,0.23,1,128,768,3072,2.325409090909091,2.316020349661509
3,16,0.23,1,128,768,3072,2.322372727272727,2.3162646293640137
4,16,0.23,1,128,768,3072,2.2615413793103447,2.2969152212142943
0,16,0.25,1,128,768,2048,2.314478571428571,2.311330906550089
1,16,0.25,1,128,768,2048,2.3010823529411764,2.3082130087746515
2,16,0.25,1,128,768,2048,2.300416666666667,2.3021617312180367
3,16,0.25,1,128,768,2048,2.324472727272727,2.318837324778239
4,16,0.25,1,128,768,2048,2.2874136363636355,2.303254853124204
0,16,0.23,1,128,768,4096,2.274876,2.294750745479877
1,16,0.23,1,128,768,4096,2.299805882352941,2.3084254794650607
2,16,0.23,1,128,768,4096,2.298183333333333,2.301240933568854
3,16,0.23,1,128,768,4096,2.3236090909090907,2.318073352177938
