fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,last_train_step,last_train_loss,best_eval_loss
5,1,0.15,1,128,512,2048,4800,2.3461,2.342205047607422
5,1,0.15,1,128,512,3072,4800,2.3421,2.3424737453460693
5,1,0.15,1,128,512,4096,4800,2.3423,2.342777967453003
5,1,0.15,1,128,768,2048,4800,2.3392,2.33603310585022
5,1,0.15,1,128,768,3072,4800,2.3373,2.3327434062957764
5,1,0.15,1,128,768,4096,4800,2.3363,2.33437180519104
5,1,0.15,1,128,1024,2048,4800,2.3361,2.334103584289551
5,1,0.15,1,128,1024,3072,4800,2.3357,2.3371474742889404
5,1,0.15,1,128,1024,4096,4800,2.3361,2.3381357192993164
5,1,0.2,1,128,512,2048,11600,2.3106,2.30812406539917
5,1,0.2,1,128,512,3072,6400,2.3338,2.349977731704712
5,1,0.2,1,128,512,4096,6400,2.3333,2.3460500240325928
5,1,0.2,1,128,768,2048,11600,2.298,2.303429126739502
5,1,0.2,1,128,768,3072,11600,2.2947,2.300717830657959
5,1,0.2,1,128,768,4096,11600,2.2927,2.3026132583618164
5,1,0.2,1,128,1024,2048,6400,2.3236,2.3473563194274902
5,1,0.2,1,128,1024,3072,11600,2.2866,2.2990663051605225
5,1,0.2,1,128,1024,4096,6400,2.3251,2.3481173515319824
5,1,0.25,1,128,512,2048,8800,2.3198,2.317214012145996
5,1,0.25,1,128,512,3072,8800,2.3162,2.314227104187012
5,1,0.25,1,128,512,4096,11600,2.3076,2.30481219291687
5,1,0.25,1,128,768,2048,8800,2.3103,2.317094326019287
5,1,0.25,1,128,768,3072,11600,2.2945,2.2966179847717285
5,1,0.25,1,128,768,4096,11600,2.2925,2.296018362045288
5,1,0.25,1,128,1024,2048,11600,2.2853,2.296966552734375
5,1,0.25,1,128,1024,3072,11600,2.2828,2.294968605041504
5,1,0.25,1,128,1024,4096,8800,2.3011,2.313889265060425
5,1,0.15,5,128,512,2048,4800,2.2798,2.3008782863616943
5,1,0.15,5,128,512,3072,4800,2.2815,2.303638458251953
5,1,0.15,5,128,512,4096,4800,2.2846,2.305929660797119
5,1,0.15,5,128,768,2048,4800,2.258,2.2970120906829834
5,1,0.15,5,128,768,3072,4800,2.2633,2.297542095184326
5,1,0.15,5,128,768,4096,4800,2.2676,2.3012733459472656
5,1,0.15,5,128,1024,2048,4800,2.2527,2.3055598735809326
5,1,0.15,5,128,1024,3072,4800,2.2603,2.313363075256348
5,1,0.15,5,128,1024,4096,4800,2.2678,2.311338186264038
5,1,0.2,5,128,512,2048,8800,2.2261,2.2605762481689453
5,1,0.2,5,128,512,3072,11600,2.1902,2.264453411102295
5,1,0.15,1,128,512,2048,4800,2.3458,2.342144012451172
5,1,0.15,1,128,512,3072,4800,2.3435,2.340125322341919
5,1,0.15,1,128,512,4096,4800,2.3426,2.340777635574341
5,1,0.15,1,128,768,2048,4800,2.3397,2.336378335952759
5,1,0.15,1,128,768,3072,4800,2.3395,2.336898803710937
5,1,0.15,1,128,768,4096,4800,2.3377,2.3367061614990234
5,1,0.15,1,128,1024,2048,4800,2.3351,2.335205078125
5,1,0.15,1,128,1024,3072,4800,2.3353,2.3373939990997314
5,1,0.15,1,128,1024,4096,8400,2.3079,2.329862356185913
5,1,0.2,1,128,512,2048,11600,2.3093,2.309906244277954
5,1,0.2,1,128,512,3072,6400,2.3331,2.349562883377075
5,1,0.2,1,128,512,4096,6400,2.3351,2.349213123321533
5,1,0.2,1,128,768,2048,6400,2.3292,2.349391460418701
5,1,0.2,1,128,768,3072,8800,2.3069,2.3032455444335938
5,1,0.2,1,128,768,4096,8800,2.3076,2.3036882877349854
5,1,0.2,1,128,1024,2048,6400,2.3249,2.346021890640259
5,1,0.2,1,128,1024,3072,6400,2.3214,2.3376197814941406
